#This is block 1
#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
   0.0000000    5.1200000000e+02    5.1810679000e+02    0.0000000000e+00    5.1200000000e+02    5.0589321000e+02    0.0000000000e+00
   2.0000000    5.1189517928e+02    5.1810475456e+02    3.2187600347e-20    5.1210482072e+02    5.0589524544e+02    1.7941946872e-20






#This is block 2
#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
   0.0000000    5.1200000000e+02    5.1810679000e+02    0.0000000000e+00    5.1200000000e+02    5.0589321000e+02    0.0000000000e+00
   2.0000000    5.1189517928e+02    5.1810475456e+02    3.2187600347e-20    5.1210482072e+02    5.0589524544e+02    1.7941946872e-20
